img_name,R,G,B
image2.jpg,63,12,11
image2.jpg,40,1,2
image2.jpg,137,203,219
image2.jpg,137,203,219
image2.jpg,138,204,218
image2.jpg,138,204,216
image2.jpg,139,206,215
image2.jpg,141,205,214
image2.jpg,144,204,212
image2.jpg,146,203,212
image2.jpg,149,203,213
image2.jpg,150,202,215
image2.jpg,152,201,216
image2.jpg,150,201,218
image2.jpg,149,202,220
image2.jpg,147,202,223
image2.jpg,147,204,224
image2.jpg,146,204,226
image2.jpg,151,201,224
image2.jpg,153,203,226
image2.jpg,155,205,228
image2.jpg,156,207,228
image2.jpg,157,205,227
image2.jpg,157,205,225
image2.jpg,157,205,225
image2.jpg,158,205,223
image2.jpg,157,204,222
image2.jpg,158,205,223
image2.jpg,160,207,225
image2.jpg,160,207,225
image2.jpg,159,208,225
image2.jpg,159,208,225
image2.jpg,160,208,228
image2.jpg,160,208,228
image2.jpg,158,211,227
image2.jpg,159,212,228
image2.jpg,160,213,229
image2.jpg,158,214,229
image2.jpg,158,214,229
image2.jpg,157,215,229
image2.jpg,157,216,230
image2.jpg,157,216,230
image2.jpg,157,216,230
image2.jpg,155,217,230
image2.jpg,155,217,230
image2.jpg,155,217,230
image2.jpg,156,218,231
image2.jpg,156,218,231
image2.jpg,159,218,232
image2.jpg,159,218,232
image2.jpg,164,217,231
image2.jpg,165,217,231
image2.jpg,165,217,231
image2.jpg,165,217,230
image2.jpg,167,216,230
image2.jpg,168,217,231
image2.jpg,169,219,230
image2.jpg,170,218,230
image2.jpg,171,219,231
image2.jpg,170,218,228
image2.jpg,171,218,228
image2.jpg,171,218,228
image2.jpg,171,218,228
image2.jpg,171,218,226
image2.jpg,171,218,226
image2.jpg,172,219,227
image2.jpg,160,219,223
image2.jpg,161,220,224
image2.jpg,164,222,226
image2.jpg,167,226,230
image2.jpg,170,229,233
image2.jpg,170,231,234
image2.jpg,167,231,233
image2.jpg,165,230,234
image2.jpg,158,226,229
image2.jpg,161,226,230
image2.jpg,168,231,236
image2.jpg,176,235,241
image2.jpg,177,230,238
image2.jpg,177,224,234
image2.jpg,181,221,233
image2.jpg,182,220,233
image2.jpg,186,222,222
image2.jpg,189,225,225
image2.jpg,179,213,212
image2.jpg,195,227,226
image2.jpg,198,228,226
image2.jpg,188,217,213
image2.jpg,203,230,225
image2.jpg,203,225,222
image2.jpg,191,212,207
image2.jpg,206,223,217
image2.jpg,208,223,216
image2.jpg,207,220,211
image2.jpg,204,216,206
image2.jpg,201,211,202
image2.jpg,206,216,205
image2.jpg,209,217,206
image2.jpg,206,216,208
image2.jpg,201,208,200
image2.jpg,212,218,208
image2.jpg,232,234,221
image2.jpg,212,210,197
image2.jpg,205,198,182
image2.jpg,204,188,172
image2.jpg,198,177,158
image2.jpg,186,158,137
image2.jpg,154,118,94
image2.jpg,112,68,41
image2.jpg,64,15,0
image2.jpg,107,54,14
image2.jpg,124,66,20
image2.jpg,102,42,0
image2.jpg,113,52,0
image2.jpg,96,24,0
image2.jpg,82,10,0
image2.jpg,81,7,0
image2.jpg,89,12,0
image2.jpg,117,37,10
image2.jpg,130,46,18
image2.jpg,110,23,0
image2.jpg,144,52,27
image2.jpg,150,54,30
image2.jpg,155,55,31
image2.jpg,157,53,28
image2.jpg,152,46,20
image2.jpg,147,39,10
image2.jpg,158,49,16
image2.jpg,180,70,35
image2.jpg,184,74,37
image2.jpg,178,79,40
image2.jpg,182,83,42
image2.jpg,207,106,64
image2.jpg,203,96,54
image2.jpg,201,89,49
image2.jpg,184,67,32
